,Statistic,Month,NACE.Rev.2.Sector,value
374,Services Index Value,2017M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),111.3
375,Services Index Value,2017M11,Transportation & Storage (H),93.9
376,Services Index Value,2017M11,Accommodation & Food Service Activities (I),107.4
377,Services Index Value,2017M11,Information & Communication (J),120.9
378,Services Index Value,2017M11,"Professional, Scientific & Technical Activities (M)",123.0
379,Services Index Value,2017M11,Administrative & Support Service Activities (N (excl. 7735)),110.3
380,Services Index Value,2017M11,"Other Service Activities (L, 92, 93, 95, 96)",104.6
381,Services Index Value,2017M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",113.4
382,Services Index Value,2017M11,Wholesale Trade (46),114.4
383,Services Index Value,2017M11,Accommodation (55),101.7
384,Services Index Value,2017M11,"Food Service Activities (561, 562)",110.9
385,Services Index Value,2017M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),117.1
386,Services Index Value,2017M12,Transportation & Storage (H),101.6
387,Services Index Value,2017M12,Accommodation & Food Service Activities (I),123.7
388,Services Index Value,2017M12,Information & Communication (J),144.2
389,Services Index Value,2017M12,"Professional, Scientific & Technical Activities (M)",134.3
390,Services Index Value,2017M12,Administrative & Support Service Activities (N (excl. 7735)),109.0
391,Services Index Value,2017M12,"Other Service Activities (L, 92, 93, 95, 96)",108.2
392,Services Index Value,2017M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",125.7
393,Services Index Value,2017M12,Wholesale Trade (46),107.4
394,Services Index Value,2017M12,Accommodation (55),111.7
395,Services Index Value,2017M12,"Food Service Activities (561, 562)",128.2
396,Services Index Value,2018M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),107.2
397,Services Index Value,2018M01,Transportation & Storage (H),92.0
398,Services Index Value,2018M01,Accommodation & Food Service Activities (I),87.5
399,Services Index Value,2018M01,Information & Communication (J),112.2
400,Services Index Value,2018M01,"Professional, Scientific & Technical Activities (M)",108.7
401,Services Index Value,2018M01,Administrative & Support Service Activities (N (excl. 7735)),103.1
402,Services Index Value,2018M01,"Other Service Activities (L, 92, 93, 95, 96)",107.9
403,Services Index Value,2018M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.9
404,Services Index Value,2018M01,Wholesale Trade (46),103.3
405,Services Index Value,2018M01,Accommodation (55),76.4
406,Services Index Value,2018M01,"Food Service Activities (561, 562)",103.1
407,Services Index Value,2018M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.2
408,Services Index Value,2018M02,Transportation & Storage (H),87.0
409,Services Index Value,2018M02,Accommodation & Food Service Activities (I),90.6
410,Services Index Value,2018M02,Information & Communication (J),102.1
411,Services Index Value,2018M02,"Professional, Scientific & Technical Activities (M)",99.5
412,Services Index Value,2018M02,Administrative & Support Service Activities (N (excl. 7735)),98.7
413,Services Index Value,2018M02,"Other Service Activities (L, 92, 93, 95, 96)",96.7
414,Services Index Value,2018M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",99.0
415,Services Index Value,2018M02,Wholesale Trade (46),97.7
416,Services Index Value,2018M02,Accommodation (55),82.1
417,Services Index Value,2018M02,"Food Service Activities (561, 562)",98.4
418,Services Index Value,2018M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.1
419,Services Index Value,2018M03,Transportation & Storage (H),103.6
420,Services Index Value,2018M03,Accommodation & Food Service Activities (I),104.6
421,Services Index Value,2018M03,Information & Communication (J),115.9
422,Services Index Value,2018M03,"Professional, Scientific & Technical Activities (M)",137.8
423,Services Index Value,2018M03,Administrative & Support Service Activities (N (excl. 7735)),108.2
424,Services Index Value,2018M03,"Other Service Activities (L, 92, 93, 95, 96)",101.0
425,Services Index Value,2018M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",112.2
426,Services Index Value,2018M03,Wholesale Trade (46),108.9
427,Services Index Value,2018M03,Accommodation (55),102.1
428,Services Index Value,2018M03,"Food Service Activities (561, 562)",109.3
429,Services Index Value,2018M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.5
430,Services Index Value,2018M04,Transportation & Storage (H),115.6
431,Services Index Value,2018M04,Accommodation & Food Service Activities (I),111.9
432,Services Index Value,2018M04,Information & Communication (J),113.4
433,Services Index Value,2018M04,"Professional, Scientific & Technical Activities (M)",121.1
434,Services Index Value,2018M04,Administrative & Support Service Activities (N (excl. 7735)),128.6
435,Services Index Value,2018M04,"Other Service Activities (L, 92, 93, 95, 96)",112.9
436,Services Index Value,2018M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",113.7
437,Services Index Value,2018M04,Wholesale Trade (46),108.7
438,Services Index Value,2018M04,Accommodation (55),120.9
439,Services Index Value,2018M04,"Food Service Activities (561, 562)",109.0
440,Services Index Value,2018M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.9
441,Services Index Value,2018M05,Transportation & Storage (H),113.1
442,Services Index Value,2018M05,Accommodation & Food Service Activities (I),123.3
443,Services Index Value,2018M05,Information & Communication (J),123.0
444,Services Index Value,2018M05,"Professional, Scientific & Technical Activities (M)",116.6
445,Services Index Value,2018M05,Administrative & Support Service Activities (N (excl. 7735)),148.0
446,Services Index Value,2018M05,"Other Service Activities (L, 92, 93, 95, 96)",105.5
447,Services Index Value,2018M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",117.5
448,Services Index Value,2018M05,Wholesale Trade (46),110.8
449,Services Index Value,2018M05,Accommodation (55),142.3
450,Services Index Value,2018M05,"Food Service Activities (561, 562)",114.0
451,Services Index Value,2018M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),108.0
452,Services Index Value,2018M06,Transportation & Storage (H),117.6
453,Services Index Value,2018M06,Accommodation & Food Service Activities (I),128.9
454,Services Index Value,2018M06,Information & Communication (J),130.2
455,Services Index Value,2018M06,"Professional, Scientific & Technical Activities (M)",114.8
456,Services Index Value,2018M06,Administrative & Support Service Activities (N (excl. 7735)),118.8
457,Services Index Value,2018M06,"Other Service Activities (L, 92, 93, 95, 96)",105.6
458,Services Index Value,2018M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",118.8
459,Services Index Value,2018M06,Wholesale Trade (46),114.5
460,Services Index Value,2018M06,Accommodation (55),156.5
461,Services Index Value,2018M06,"Food Service Activities (561, 562)",114.9
462,Services Index Value,2018M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.3
463,Services Index Value,2018M07,Transportation & Storage (H),118.5
464,Services Index Value,2018M07,Accommodation & Food Service Activities (I),133.1
465,Services Index Value,2018M07,Information & Communication (J),117.8
466,Services Index Value,2018M07,"Professional, Scientific & Technical Activities (M)",120.1
467,Services Index Value,2018M07,Administrative & Support Service Activities (N (excl. 7735)),132.1
468,Services Index Value,2018M07,"Other Service Activities (L, 92, 93, 95, 96)",107.8
469,Services Index Value,2018M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",116.4
470,Services Index Value,2018M07,Wholesale Trade (46),101.0
471,Services Index Value,2018M07,Accommodation (55),156.9
472,Services Index Value,2018M07,"Food Service Activities (561, 562)",119.8
473,Services Index Value,2018M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.6
474,Services Index Value,2018M08,Transportation & Storage (H),121.0
475,Services Index Value,2018M08,Accommodation & Food Service Activities (I),141.9
476,Services Index Value,2018M08,Information & Communication (J),109.0
477,Services Index Value,2018M08,"Professional, Scientific & Technical Activities (M)",108.8
478,Services Index Value,2018M08,Administrative & Support Service Activities (N (excl. 7735)),131.2
479,Services Index Value,2018M08,"Other Service Activities (L, 92, 93, 95, 96)",109.4
480,Services Index Value,2018M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",112.2
481,Services Index Value,2018M08,Wholesale Trade (46),104.8
482,Services Index Value,2018M08,Accommodation (55),171.6
483,Services Index Value,2018M08,"Food Service Activities (561, 562)",124.1
484,Services Index Value,2018M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.1
485,Services Index Value,2018M09,Transportation & Storage (H),108.6
486,Services Index Value,2018M09,Accommodation & Food Service Activities (I),131.3
487,Services Index Value,2018M09,Information & Communication (J),150.3
488,Services Index Value,2018M09,"Professional, Scientific & Technical Activities (M)",110.7
489,Services Index Value,2018M09,Administrative & Support Service Activities (N (excl. 7735)),131.8
490,Services Index Value,2018M09,"Other Service Activities (L, 92, 93, 95, 96)",104.9
491,Services Index Value,2018M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",123.2
492,Services Index Value,2018M09,Wholesale Trade (46),105.1
493,Services Index Value,2018M09,Accommodation (55),150.6
494,Services Index Value,2018M09,"Food Service Activities (561, 562)",119.6
495,Services Index Value,2018M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),110.0
496,Services Index Value,2018M10,Transportation & Storage (H),115.4
497,Services Index Value,2018M10,Accommodation & Food Service Activities (I),124.2
498,Services Index Value,2018M10,Information & Communication (J),149.4
499,Services Index Value,2018M10,"Professional, Scientific & Technical Activities (M)",113.8
500,Services Index Value,2018M10,Administrative & Support Service Activities (N (excl. 7735)),123.3
501,Services Index Value,2018M10,"Other Service Activities (L, 92, 93, 95, 96)",107.3
502,Services Index Value,2018M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",125.0
503,Services Index Value,2018M10,Wholesale Trade (46),120.4
504,Services Index Value,2018M10,Accommodation (55),134.1
505,Services Index Value,2018M10,"Food Service Activities (561, 562)",125.0
506,Services Index Value,2018M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),114.1
507,Services Index Value,2018M11,Transportation & Storage (H),111.1
508,Services Index Value,2018M11,Accommodation & Food Service Activities (I),114.0
509,Services Index Value,2018M11,Information & Communication (J),151.3
510,Services Index Value,2018M11,"Professional, Scientific & Technical Activities (M)",118.8
511,Services Index Value,2018M11,Administrative & Support Service Activities (N (excl. 7735)),147.2
512,Services Index Value,2018M11,"Other Service Activities (L, 92, 93, 95, 96)",97.2
513,Services Index Value,2018M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",127.4
514,Services Index Value,2018M11,Wholesale Trade (46),118.7
515,Services Index Value,2018M11,Accommodation (55),114.3
516,Services Index Value,2018M11,"Food Service Activities (561, 562)",115.8
517,Services Index Value,2018M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),122.3
518,Services Index Value,2018M12,Transportation & Storage (H),119.0
519,Services Index Value,2018M12,Accommodation & Food Service Activities (I),132.2
520,Services Index Value,2018M12,Information & Communication (J),164.2
521,Services Index Value,2018M12,"Professional, Scientific & Technical Activities (M)",122.1
522,Services Index Value,2018M12,Administrative & Support Service Activities (N (excl. 7735)),103.6
523,Services Index Value,2018M12,"Other Service Activities (L, 92, 93, 95, 96)",96.1
524,Services Index Value,2018M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",133.1
525,Services Index Value,2018M12,Wholesale Trade (46),115.2
526,Services Index Value,2018M12,Accommodation (55),139.4
527,Services Index Value,2018M12,"Food Service Activities (561, 562)",125.3
528,Services Index Value,2019M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),105.8
529,Services Index Value,2019M01,Transportation & Storage (H),97.6
530,Services Index Value,2019M01,Accommodation & Food Service Activities (I),93.8
531,Services Index Value,2019M01,Information & Communication (J),149.8
532,Services Index Value,2019M01,"Professional, Scientific & Technical Activities (M)",99.2
533,Services Index Value,2019M01,Administrative & Support Service Activities (N (excl. 7735)),91.2
534,Services Index Value,2019M01,"Other Service Activities (L, 92, 93, 95, 96)",99.8
535,Services Index Value,2019M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",115.9
536,Services Index Value,2019M01,Wholesale Trade (46),101.7
537,Services Index Value,2019M01,Accommodation (55),89.7
538,Services Index Value,2019M01,"Food Service Activities (561, 562)",108.0
539,Services Index Value,2019M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),105.0
540,Services Index Value,2019M02,Transportation & Storage (H),94.6
541,Services Index Value,2019M02,Accommodation & Food Service Activities (I),97.8
542,Services Index Value,2019M02,Information & Communication (J),134.4
543,Services Index Value,2019M02,"Professional, Scientific & Technical Activities (M)",96.9
544,Services Index Value,2019M02,Administrative & Support Service Activities (N (excl. 7735)),90.8
545,Services Index Value,2019M02,"Other Service Activities (L, 92, 93, 95, 96)",105.8
546,Services Index Value,2019M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",110.7
547,Services Index Value,2019M02,Wholesale Trade (46),99.8
