,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
312,Persons aged 15-89 years in Employment,1999Q2,Female,Information and communication (J),26.9
313,Persons aged 15-89 years in Employment,1999Q2,Female,"Professional, scientific and technical activities (M)",32.8
314,Persons aged 15-89 years in Employment,1999Q2,Female,Administrative and support service activities (N),27.4
315,Persons aged 15-89 years in Employment,1999Q2,Female,"Public administration and defence, compulsory social security (O)",25.3
316,Persons aged 15-89 years in Employment,1999Q2,Female,Education (P),67.7
317,Persons aged 15-89 years in Employment,1999Q2,Female,Human health and social work activities (Q),100.5
318,Persons aged 15-89 years in Employment,1999Q2,Female,Industry (B to E),97.4
319,Persons aged 15-89 years in Employment,1999Q2,Female,Industry and Construction (B to F),101.6
320,Persons aged 15-89 years in Employment,1999Q2,Female,Services (G to U),553.0
321,Persons aged 15-89 years in Employment,1999Q2,Female,"Financial, insurance and real estate activities (K,L)",38.5
322,Persons aged 15-89 years in Employment,1999Q2,Female,Other NACE activities (R to U),44.4
323,Persons aged 15-89 years in Employment,1999Q2,Female,Not stated,4.2
324,Persons aged 15-89 years in Employment,1999Q3,Both sexes,All NACE economic sectors,1746.8
325,Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Agriculture, forestry and fishing (A)",143.3
326,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Construction (F),126.8
327,Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",248.0
328,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Transportation and storage (H),75.9
329,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Accommodation and food service activities (I),119.7
330,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Information and communication (J),77.7
331,Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Professional, scientific and technical activities (M)",82.2
332,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Administrative and support service activities (N),58.0
333,Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Public administration and defence, compulsory social security (O)",73.4
334,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Education (P),97.0
335,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Human health and social work activities (Q),134.9
336,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Industry (B to E),337.3
337,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Industry and Construction (B to F),464.1
338,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Services (G to U),1127.1
339,Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",75.7
340,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Other NACE activities (R to U),84.4
341,Persons aged 15-89 years in Employment,1999Q3,Both sexes,Not stated,12.2
342,Persons aged 15-89 years in Employment,1999Q3,Male,All NACE economic sectors,1039.4
343,Persons aged 15-89 years in Employment,1999Q3,Male,"Agriculture, forestry and fishing (A)",124.8
344,Persons aged 15-89 years in Employment,1999Q3,Male,Construction (F),122.3
345,Persons aged 15-89 years in Employment,1999Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",129.4
346,Persons aged 15-89 years in Employment,1999Q3,Male,Transportation and storage (H),59.8
347,Persons aged 15-89 years in Employment,1999Q3,Male,Accommodation and food service activities (I),52.1
348,Persons aged 15-89 years in Employment,1999Q3,Male,Information and communication (J),48.3
349,Persons aged 15-89 years in Employment,1999Q3,Male,"Professional, scientific and technical activities (M)",48.9
350,Persons aged 15-89 years in Employment,1999Q3,Male,Administrative and support service activities (N),29.0
351,Persons aged 15-89 years in Employment,1999Q3,Male,"Public administration and defence, compulsory social security (O)",46.7
352,Persons aged 15-89 years in Employment,1999Q3,Male,Education (P),33.0
353,Persons aged 15-89 years in Employment,1999Q3,Male,Human health and social work activities (Q),29.3
354,Persons aged 15-89 years in Employment,1999Q3,Male,Industry (B to E),236.1
355,Persons aged 15-89 years in Employment,1999Q3,Male,Industry and Construction (B to F),358.4
356,Persons aged 15-89 years in Employment,1999Q3,Male,Services (G to U),549.4
357,Persons aged 15-89 years in Employment,1999Q3,Male,"Financial, insurance and real estate activities (K,L)",35.5
358,Persons aged 15-89 years in Employment,1999Q3,Male,Other NACE activities (R to U),37.3
359,Persons aged 15-89 years in Employment,1999Q3,Male,Not stated,6.9
360,Persons aged 15-89 years in Employment,1999Q3,Female,All NACE economic sectors,707.4
361,Persons aged 15-89 years in Employment,1999Q3,Female,"Agriculture, forestry and fishing (A)",18.6
362,Persons aged 15-89 years in Employment,1999Q3,Female,Construction (F),4.5
363,Persons aged 15-89 years in Employment,1999Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",118.6
364,Persons aged 15-89 years in Employment,1999Q3,Female,Transportation and storage (H),16.1
365,Persons aged 15-89 years in Employment,1999Q3,Female,Accommodation and food service activities (I),67.6
366,Persons aged 15-89 years in Employment,1999Q3,Female,Information and communication (J),29.4
367,Persons aged 15-89 years in Employment,1999Q3,Female,"Professional, scientific and technical activities (M)",33.3
368,Persons aged 15-89 years in Employment,1999Q3,Female,Administrative and support service activities (N),29.0
369,Persons aged 15-89 years in Employment,1999Q3,Female,"Public administration and defence, compulsory social security (O)",26.7
370,Persons aged 15-89 years in Employment,1999Q3,Female,Education (P),64.0
371,Persons aged 15-89 years in Employment,1999Q3,Female,Human health and social work activities (Q),105.6
372,Persons aged 15-89 years in Employment,1999Q3,Female,Industry (B to E),101.2
373,Persons aged 15-89 years in Employment,1999Q3,Female,Industry and Construction (B to F),105.7
374,Persons aged 15-89 years in Employment,1999Q3,Female,Services (G to U),577.8
375,Persons aged 15-89 years in Employment,1999Q3,Female,"Financial, insurance and real estate activities (K,L)",40.3
376,Persons aged 15-89 years in Employment,1999Q3,Female,Other NACE activities (R to U),47.1
377,Persons aged 15-89 years in Employment,1999Q3,Female,Not stated,5.3
378,Persons aged 15-89 years in Employment,1999Q4,Both sexes,All NACE economic sectors,1723.1
379,Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Agriculture, forestry and fishing (A)",140.6
380,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Construction (F),129.9
381,Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",242.0
382,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Transportation and storage (H),76.6
383,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Accommodation and food service activities (I),107.6
384,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Information and communication (J),78.2
385,Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Professional, scientific and technical activities (M)",83.2
386,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Administrative and support service activities (N),59.2
387,Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Public administration and defence, compulsory social security (O)",74.5
388,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Education (P),100.6
389,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Human health and social work activities (Q),135.7
390,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Industry (B to E),328.4
391,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Industry and Construction (B to F),458.3
392,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Services (G to U),1113.6
393,Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",73.4
394,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Other NACE activities (R to U),82.7
395,Persons aged 15-89 years in Employment,1999Q4,Both sexes,Not stated,10.6
396,Persons aged 15-89 years in Employment,1999Q4,Male,All NACE economic sectors,1026.1
397,Persons aged 15-89 years in Employment,1999Q4,Male,"Agriculture, forestry and fishing (A)",122.3
398,Persons aged 15-89 years in Employment,1999Q4,Male,Construction (F),125.9
399,Persons aged 15-89 years in Employment,1999Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",127.1
400,Persons aged 15-89 years in Employment,1999Q4,Male,Transportation and storage (H),60.7
401,Persons aged 15-89 years in Employment,1999Q4,Male,Accommodation and food service activities (I),47.8
402,Persons aged 15-89 years in Employment,1999Q4,Male,Information and communication (J),49.1
403,Persons aged 15-89 years in Employment,1999Q4,Male,"Professional, scientific and technical activities (M)",49.4
404,Persons aged 15-89 years in Employment,1999Q4,Male,Administrative and support service activities (N),29.5
405,Persons aged 15-89 years in Employment,1999Q4,Male,"Public administration and defence, compulsory social security (O)",46.7
406,Persons aged 15-89 years in Employment,1999Q4,Male,Education (P),32.2
407,Persons aged 15-89 years in Employment,1999Q4,Male,Human health and social work activities (Q),30.0
408,Persons aged 15-89 years in Employment,1999Q4,Male,Industry (B to E),227.9
409,Persons aged 15-89 years in Employment,1999Q4,Male,Industry and Construction (B to F),353.8
410,Persons aged 15-89 years in Employment,1999Q4,Male,Services (G to U),543.7
411,Persons aged 15-89 years in Employment,1999Q4,Male,"Financial, insurance and real estate activities (K,L)",34.6
412,Persons aged 15-89 years in Employment,1999Q4,Male,Other NACE activities (R to U),36.7
413,Persons aged 15-89 years in Employment,1999Q4,Male,Not stated,6.3
414,Persons aged 15-89 years in Employment,1999Q4,Female,All NACE economic sectors,696.9
415,Persons aged 15-89 years in Employment,1999Q4,Female,"Agriculture, forestry and fishing (A)",18.2
416,Persons aged 15-89 years in Employment,1999Q4,Female,Construction (F),4.1
417,Persons aged 15-89 years in Employment,1999Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",114.9
418,Persons aged 15-89 years in Employment,1999Q4,Female,Transportation and storage (H),15.9
419,Persons aged 15-89 years in Employment,1999Q4,Female,Accommodation and food service activities (I),59.8
420,Persons aged 15-89 years in Employment,1999Q4,Female,Information and communication (J),29.1
421,Persons aged 15-89 years in Employment,1999Q4,Female,"Professional, scientific and technical activities (M)",33.8
422,Persons aged 15-89 years in Employment,1999Q4,Female,Administrative and support service activities (N),29.7
423,Persons aged 15-89 years in Employment,1999Q4,Female,"Public administration and defence, compulsory social security (O)",27.7
424,Persons aged 15-89 years in Employment,1999Q4,Female,Education (P),68.4
425,Persons aged 15-89 years in Employment,1999Q4,Female,Human health and social work activities (Q),105.8
426,Persons aged 15-89 years in Employment,1999Q4,Female,Industry (B to E),100.4
427,Persons aged 15-89 years in Employment,1999Q4,Female,Industry and Construction (B to F),104.5
428,Persons aged 15-89 years in Employment,1999Q4,Female,Services (G to U),569.8
429,Persons aged 15-89 years in Employment,1999Q4,Female,"Financial, insurance and real estate activities (K,L)",38.7
430,Persons aged 15-89 years in Employment,1999Q4,Female,Other NACE activities (R to U),46.1
431,Persons aged 15-89 years in Employment,1999Q4,Female,Not stated,4.4
432,Persons aged 15-89 years in Employment,2000Q1,Both sexes,All NACE economic sectors,1726.8
433,Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Agriculture, forestry and fishing (A)",134.5
434,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Construction (F),135.6
435,Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",243.8
436,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Transportation and storage (H),75.4
437,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Accommodation and food service activities (I),109.7
438,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Information and communication (J),75.2
439,Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Professional, scientific and technical activities (M)",84.4
440,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Administrative and support service activities (N),61.7
441,Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Public administration and defence, compulsory social security (O)",73.4
442,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Education (P),102.6
443,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Human health and social work activities (Q),135.9
444,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Industry (B to E),327.6
445,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Industry and Construction (B to F),463.1
446,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Services (G to U),1118.8
447,Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",74.4
448,Persons aged 15-89 years in Employment,2000Q1,Both sexes,Other NACE activities (R to U),82.2
