Statistic,Quarter,Item,value
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",20247
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8449
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",139614
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",131915
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",7699
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Net worth, including pension liabilities",-105431
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Contingent liabilities,149151
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,"Net worth, including pension liabilities and contingent liabilities",-254583
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,General Government: changes in net worth - Opening net worth,18865
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to transactions,-16085
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),1564
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-17648
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),7789
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,-1669
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to other economic flows - Other changes in financial assets,664
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Change in net worth due to other economic flows - Other changes in liabilities,8794
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Closing net worth,10569
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),131915
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,12314
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),144230
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-32744
"General Government Net Worth, Gross and Net Debt ESA 2010",2010Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),111486
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",13139
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),88251
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-75112
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",72343
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",42152
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",20032
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",10159
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",147455
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",138669
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",8786
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Net worth, including pension liabilities",-102861
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Contingent liabilities,141994
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,"Net worth, including pension liabilities and contingent liabilities",-244855
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,General Government: changes in net worth - Opening net worth,10569
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to transactions,-4103
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),-38
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-4064
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),6673
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,-454
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to other economic flows - Other changes in financial assets,2288
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Change in net worth due to other economic flows - Other changes in liabilities,4839
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Closing net worth,13139
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),138669
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,17166
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),155835
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-42152
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),113683
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",12570
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),87820
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-75250
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",69584
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",40413
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",19936
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",9235
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",144834
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",136316
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",8518
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Estimated pension liabilities of government,116000
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Net worth, including pension liabilities",-103430
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Contingent liabilities,141994
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,"Net worth, including pension liabilities and contingent liabilities",-245424
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,General Government: changes in net worth - Opening net worth,13139
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to transactions,-3450
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),23
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-3473
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),2881
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,-454
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to other economic flows - Other changes in financial assets,-1112
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Change in net worth due to other economic flows - Other changes in liabilities,4447
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,Closing net worth,12570
"General Government Net Worth, Gross and Net Debt ESA 2010",2011Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),136316
