,Statistic,Quarter,Sector,value
274,Expenditure on GNP at Current Market Prices,1997Q2,Export of Goods (excluding Factor Income Flows),11561.0
275,Expenditure on GNP at Current Market Prices,1997Q2,Import of Goods (excluding Factor Income Flows),-8136.0
276,Expenditure on GNP at Current Market Prices,1997Q2,Export of Services (excluding Factor Income Flows),1832.0
277,Expenditure on GNP at Current Market Prices,1997Q2,Import of Services (excluding Factor Income Flows),-3191.0
278,Expenditure on GNP at Current Market Prices,1997Q2,Final Domestic Demand,14882.0
279,Expenditure on GNP at Current Market Prices,1997Q2,Total Domestic Demand,15194.0
280,Expenditure on GNP at Current Market Prices,1997Q3,Personal Expenditure on Consumer Goods and Services,8714.0
281,Expenditure on GNP at Current Market Prices,1997Q3,Household & NPISH Final Consumption Expenditure,8550.0
282,Expenditure on GNP at Current Market Prices,1997Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2610.0
283,Expenditure on GNP at Current Market Prices,1997Q3,General Government Expenditure on Goods & Services provided to Households,1724.0
284,Expenditure on GNP at Current Market Prices,1997Q3,General Government Collective Consumption Expenditure,1050.0
285,Expenditure on GNP at Current Market Prices,1997Q3,General Government Final Consumption Expenditure,2773.0
286,Expenditure on GNP at Current Market Prices,1997Q3,Gross Domestic Fixed Capital Formation,3414.0
287,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Dwellings,859.0
288,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Improvements,284.0
289,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Other Building and Construction,934.0
290,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Transfer Costs,162.0
291,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Machinery and Equipment,845.0
292,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,10.0
293,Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Intangible Assets,331.0
294,Expenditure on GNP at Current Market Prices,1997Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
295,Expenditure on GNP at Current Market Prices,1997Q3,Value of Physical Changes in Stocks,-101.0
296,Expenditure on GNP at Current Market Prices,1997Q3,Exports of Goods and Services (excluding Factor Income Flows),13811.0
297,Expenditure on GNP at Current Market Prices,1997Q3,Imports of Goods and Services (excluding Factor Income Flows),-11169.0
298,Expenditure on GNP at Current Market Prices,1997Q3,Gross Domestic Product at Market Prices,17388.0
299,Expenditure on GNP at Current Market Prices,1997Q3,Net Factor Income from the Rest of the World,-1707.0
300,Expenditure on GNP at Current Market Prices,1997Q3,Gross National Product at Market Prices,15681.0
301,Expenditure on GNP at Current Market Prices,1997Q3,Statistical Discrepancy,109.0
302,Expenditure on GNP at Current Market Prices,1997Q3,Export of Goods (excluding Factor Income Flows),11922.0
303,Expenditure on GNP at Current Market Prices,1997Q3,Import of Goods (excluding Factor Income Flows),-8023.0
304,Expenditure on GNP at Current Market Prices,1997Q3,Export of Services (excluding Factor Income Flows),1889.0
305,Expenditure on GNP at Current Market Prices,1997Q3,Import of Services (excluding Factor Income Flows),-3146.0
306,Expenditure on GNP at Current Market Prices,1997Q3,Final Domestic Demand,14738.0
307,Expenditure on GNP at Current Market Prices,1997Q3,Total Domestic Demand,14637.0
308,Expenditure on GNP at Current Market Prices,1997Q4,Personal Expenditure on Consumer Goods and Services,10080.0
309,Expenditure on GNP at Current Market Prices,1997Q4,Household & NPISH Final Consumption Expenditure,9886.0
310,Expenditure on GNP at Current Market Prices,1997Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,2815.0
311,Expenditure on GNP at Current Market Prices,1997Q4,General Government Expenditure on Goods & Services provided to Households,1870.0
312,Expenditure on GNP at Current Market Prices,1997Q4,General Government Collective Consumption Expenditure,1139.0
313,Expenditure on GNP at Current Market Prices,1997Q4,General Government Final Consumption Expenditure,3009.0
314,Expenditure on GNP at Current Market Prices,1997Q4,Gross Domestic Fixed Capital Formation,4098.0
315,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Dwellings,863.0
316,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Improvements,296.0
317,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Other Building and Construction,1068.0
318,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Transfer Costs,161.0
319,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Machinery and Equipment,1320.0
320,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,24.0
321,Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Intangible Assets,390.0
322,Expenditure on GNP at Current Market Prices,1997Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
323,Expenditure on GNP at Current Market Prices,1997Q4,Value of Physical Changes in Stocks,265.0
324,Expenditure on GNP at Current Market Prices,1997Q4,Exports of Goods and Services (excluding Factor Income Flows),14584.0
325,Expenditure on GNP at Current Market Prices,1997Q4,Imports of Goods and Services (excluding Factor Income Flows),-12312.0
326,Expenditure on GNP at Current Market Prices,1997Q4,Gross Domestic Product at Market Prices,18540.0
327,Expenditure on GNP at Current Market Prices,1997Q4,Net Factor Income from the Rest of the World,-1898.0
328,Expenditure on GNP at Current Market Prices,1997Q4,Gross National Product at Market Prices,16642.0
329,Expenditure on GNP at Current Market Prices,1997Q4,Statistical Discrepancy,-989.0
330,Expenditure on GNP at Current Market Prices,1997Q4,Export of Goods (excluding Factor Income Flows),12589.0
331,Expenditure on GNP at Current Market Prices,1997Q4,Import of Goods (excluding Factor Income Flows),-8844.0
332,Expenditure on GNP at Current Market Prices,1997Q4,Export of Services (excluding Factor Income Flows),1995.0
333,Expenditure on GNP at Current Market Prices,1997Q4,Import of Services (excluding Factor Income Flows),-3468.0
334,Expenditure on GNP at Current Market Prices,1997Q4,Final Domestic Demand,16993.0
335,Expenditure on GNP at Current Market Prices,1997Q4,Total Domestic Demand,17257.0
336,Expenditure on GNP at Current Market Prices,1998Q1,Personal Expenditure on Consumer Goods and Services,9280.0
337,Expenditure on GNP at Current Market Prices,1998Q1,Household & NPISH Final Consumption Expenditure,9069.0
338,Expenditure on GNP at Current Market Prices,1998Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2712.0
339,Expenditure on GNP at Current Market Prices,1998Q1,General Government Expenditure on Goods & Services provided to Households,1844.0
340,Expenditure on GNP at Current Market Prices,1998Q1,General Government Collective Consumption Expenditure,1080.0
341,Expenditure on GNP at Current Market Prices,1998Q1,General Government Final Consumption Expenditure,2924.0
342,Expenditure on GNP at Current Market Prices,1998Q1,Gross Domestic Fixed Capital Formation,4366.0
343,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Dwellings,863.0
344,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Improvements,287.0
345,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Other Building and Construction,990.0
346,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Transfer Costs,172.0
347,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Machinery and Equipment,1696.0
348,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,59.0
349,Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Intangible Assets,358.0
350,Expenditure on GNP at Current Market Prices,1998Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
351,Expenditure on GNP at Current Market Prices,1998Q1,Value of Physical Changes in Stocks,336.0
352,Expenditure on GNP at Current Market Prices,1998Q1,Exports of Goods and Services (excluding Factor Income Flows),15804.0
353,Expenditure on GNP at Current Market Prices,1998Q1,Imports of Goods and Services (excluding Factor Income Flows),-14133.0
354,Expenditure on GNP at Current Market Prices,1998Q1,Gross Domestic Product at Market Prices,19132.0
355,Expenditure on GNP at Current Market Prices,1998Q1,Net Factor Income from the Rest of the World,-2129.0
356,Expenditure on GNP at Current Market Prices,1998Q1,Gross National Product at Market Prices,17003.0
357,Expenditure on GNP at Current Market Prices,1998Q1,Statistical Discrepancy,767.0
358,Expenditure on GNP at Current Market Prices,1998Q1,Export of Goods (excluding Factor Income Flows),13142.0
359,Expenditure on GNP at Current Market Prices,1998Q1,Import of Goods (excluding Factor Income Flows),-9744.0
360,Expenditure on GNP at Current Market Prices,1998Q1,Export of Services (excluding Factor Income Flows),2662.0
361,Expenditure on GNP at Current Market Prices,1998Q1,Import of Services (excluding Factor Income Flows),-4389.0
362,Expenditure on GNP at Current Market Prices,1998Q1,Final Domestic Demand,16359.0
363,Expenditure on GNP at Current Market Prices,1998Q1,Total Domestic Demand,16695.0
364,Expenditure on GNP at Current Market Prices,1998Q2,Personal Expenditure on Consumer Goods and Services,9743.0
365,Expenditure on GNP at Current Market Prices,1998Q2,Household & NPISH Final Consumption Expenditure,9520.0
366,Expenditure on GNP at Current Market Prices,1998Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2814.0
367,Expenditure on GNP at Current Market Prices,1998Q2,General Government Expenditure on Goods & Services provided to Households,1915.0
368,Expenditure on GNP at Current Market Prices,1998Q2,General Government Collective Consumption Expenditure,1122.0
369,Expenditure on GNP at Current Market Prices,1998Q2,General Government Final Consumption Expenditure,3037.0
370,Expenditure on GNP at Current Market Prices,1998Q2,Gross Domestic Fixed Capital Formation,4511.0
371,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Dwellings,997.0
372,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Improvements,263.0
373,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Other Building and Construction,1014.0
374,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Transfer Costs,172.0
375,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Machinery and Equipment,1665.0
376,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,163.0
377,Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Intangible Assets,400.0
378,Expenditure on GNP at Current Market Prices,1998Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
379,Expenditure on GNP at Current Market Prices,1998Q2,Value of Physical Changes in Stocks,404.0
380,Expenditure on GNP at Current Market Prices,1998Q2,Exports of Goods and Services (excluding Factor Income Flows),16724.0
381,Expenditure on GNP at Current Market Prices,1998Q2,Imports of Goods and Services (excluding Factor Income Flows),-14398.0
382,Expenditure on GNP at Current Market Prices,1998Q2,Gross Domestic Product at Market Prices,20071.0
383,Expenditure on GNP at Current Market Prices,1998Q2,Net Factor Income from the Rest of the World,-2484.0
384,Expenditure on GNP at Current Market Prices,1998Q2,Gross National Product at Market Prices,17587.0
385,Expenditure on GNP at Current Market Prices,1998Q2,Statistical Discrepancy,272.0
